Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
157,GY,T2,GCA,0.81909251366712,0.87979861833203
157,GY,T2,GCA+SCA,0.765272815837015,0.824647430858852
157,GNP,T2,GCA,0.844378152043221,0.901150642522114
157,GNP,T2,GCA+SCA,0.758933411716771,0.818698394516474
158,DTA,T2,GCA,0.894187317254567,0.936321798172322
158,DTA,T2,GCA+SCA,0.848953899642259,0.89175829794355
158,PH,T2,GCA,0.949162308758775,0.952018363850326
158,PH,T2,GCA+SCA,0.764706410593132,0.767777520675835
158,TGW,T2,GCA,0.864163770201785,0.881799765512025
158,TGW,T2,GCA+SCA,0.764898819157165,0.783707806513489
158,GY,T2,GCA,0.801546063339433,0.86095173291024
158,GY,T2,GCA+SCA,0.724129786754674,0.780312270209778
158,GNP,T2,GCA,0.809112878509024,0.863514278024572
158,GNP,T2,GCA+SCA,0.703101574268794,0.758469875155118
159,DTA,T2,GCA,0.873459387552823,0.914617159741176
159,DTA,T2,GCA+SCA,0.803012628963698,0.843500660676153
159,PH,T2,GCA,0.937945856044288,0.940768160525865
159,PH,T2,GCA+SCA,0.750145698468302,0.753158331795484
159,TGW,T2,GCA,0.881010531340219,0.898990338102265
159,TGW,T2,GCA+SCA,0.777608170034666,0.796729682412568
159,GY,T2,GCA,0.830598836247909,0.892157718848452
159,GY,T2,GCA+SCA,0.711079271020173,0.766249214461393
159,GNP,T2,GCA,0.8145684664592,0.86933667711761
159,GNP,T2,GCA+SCA,0.68583521234185,0.739843810509007
160,DTA,T2,GCA,0.858181087714797,0.898618940015494
160,DTA,T2,GCA+SCA,0.808564770671754,0.849332742302263
160,PH,T2,GCA,0.942188775198597,0.945023846738814
160,PH,T2,GCA+SCA,0.808661650825838,0.811909287977749
160,TGW,T2,GCA,0.881645556711968,0.899638323175477
160,TGW,T2,GCA+SCA,0.789684185289414,0.809102648862105
160,GY,T2,GCA,0.819920088676156,0.880687528116172
160,GY,T2,GCA+SCA,0.744329792633355,0.802079517923874
160,GNP,T2,GCA,0.807191459641984,0.861463670909268
160,GNP,T2,GCA+SCA,0.693209451780952,0.74779876136025
161,DTA,T2,GCA,0.888680709137289,0.930555716374125
